iter	Passed	Remaining
0	143	143762
1	145	72449
2	146	48579
3	147	36618
4	148	29581
5	149	24798
6	150	21369
7	151	18799
8	152	16808
9	154	15282
10	157	14131
11	158	13036
12	159	12120
13	160	11311
14	161	10632
15	162	10020
16	163	9476
17	164	8994
18	165	8561
19	166	8177
20	168	7848
21	169	7531
22	171	7306
23	173	7045
24	174	6822
25	175	6592
26	176	6375
27	177	6173
28	178	5984
29	179	5808
30	180	5650
31	181	5505
32	182	5361
33	183	5224
34	186	5148
35	188	5053
36	190	4952
37	191	4845
38	192	4739
39	193	4643
40	195	4570
41	196	4482
42	197	4396
43	198	4314
44	204	4335
45	207	4294
46	209	4242
47	210	4170
48	211	4103
49	212	4038
50	213	3976
51	218	3985
52	220	3933
53	221	3878
54	223	3835
55	224	3781
56	225	3726
57	226	3674
58	227	3624
59	229	3589
60	231	3569
61	233	3529
62	234	3491
63	236	3464
64	237	3422
65	238	3380
66	239	3340
67	240	3300
68	243	3281
69	244	3246
70	246	3230
71	248	3199
72	250	3184
73	251	3152
74	252	3120
75	253	3087
76	256	3068
77	257	3039
78	258	3009
79	259	2980
80	262	2981
81	265	2968
82	265	2935
83	266	2909
84	268	2892
85	269	2869
86	270	2843
87	271	2818
88	272	2794
89	273	2769
90	277	2768
91	278	2749
92	279	2729
93	280	2707
94	282	2687
95	283	2667
96	284	2647
97	285	2626
98	286	2606
99	287	2585
100	289	2574
101	291	2564
102	292	2550
103	294	2535
104	295	2518
105	296	2501
106	297	2484
107	299	2470
108	300	2456
109	303	2452
110	304	2438
111	310	2465
112	312	2449
113	313	2432
114	314	2416
115	314	2400
116	315	2382
117	316	2367
118	317	2352
119	318	2338
120	319	2323
121	322	2319
122	323	2306
123	324	2293
124	325	2279
125	326	2265
126	327	2250
127	328	2237
128	329	2224
129	330	2211
130	331	2199
131	332	2187
132	333	2174
133	334	2163
134	337	2161
135	338	2150
136	339	2139
137	340	2128
138	342	2120
139	343	2112
140	344	2101
141	345	2087
142	346	2076
143	347	2065
144	348	2054
145	349	2043
146	351	2041
147	353	2033
148	354	2023
149	355	2014
150	356	2003
151	357	1993
152	358	1982
153	359	1972
154	359	1962
155	360	1952
156	362	1944
157	363	1934
158	364	1925
159	366	1924
160	367	1914
161	369	1910
162	370	1902
163	371	1894
164	372	1885
165	373	1877
166	375	1872
167	376	1864
168	377	1856
169	378	1848
170	380	1846
171	382	1842
172	383	1835
173	385	1828
174	386	1822
175	387	1815
176	389	1810
177	390	1803
178	391	1796
179	392	1789
180	394	1783
181	397	1788
182	399	1782
183	400	1776
184	401	1770
